600000,浦发银行
601328,交通银行
601398,工商银行
601939,建设银行
601166,兴业银行
600016,民生银行

601668,中国建筑
600048,保利地产
600383,金地集团
000046,泛海控股
000402,金融街
000069,华侨城A

600519,贵州茅台
600779,水井坊
600809,山西汾酒
000568,泸州老窖
000596,古井贡酒
000869,张裕A

600004,白云机场
600009,上海机场
000089,深圳机场

600020,中原高速
600269,赣粤高速
600377,宁沪高速
600548,深高速
000900,现代投资
600033,福建高速

600837,海通证券
600999,招商证券
601788,光大证券
600030,中信证券
600109,国金证券

601318,中国平安
601601,中国太保
601336,新华保险
601628,中国人寿

600028,中国石化
600585,海螺水泥
601006,大秦铁路
000338,潍柴动力
601088,中国神华
601857,中国石油
