502001,500等权A
502002,500等权B
502004,军工A
502005,军工B
502007,国企改A
502008,国企改B
502011,证券A
502012,证券B
502014,一带一A
502015,一带一B
502017,带路A
502018,带路B
502021,国金50A
502022,国金50B
502024,钢铁A
502025,钢铁B
502027,新丝路A
502028,新丝路B
502031,高铁A
502032,高铁B
502037,网金A
502038,网金B
502041,上50A
502042,上50B
502049,上证50A
502050,上证50B
502054,券商A
502055,券商B
502057,医疗A
502058,医疗B
150008,瑞和小康
150009,瑞和远见
150012,中证100A
150013,中证100B
150018,银华稳进
150019,银华锐进
150020,汇利A
150021,汇利B
150022,深成指A
150023,深成指B
150028,中证500A
150029,中证500B
150030,中证90A
150031,中证90B
150032,多利优先
150033,多利进取
150036,建信稳健
150037,建信进取
150039,鼎利A
150040,鼎利B
150049,消费收益
150050,消费进取
150051,沪深300A
150052,沪深300B
150053,泰达500A
150054,泰达500B
150055,500A
150056,500B
150057,中小300A
150058,中小300B
150059,资源A级
150060,资源B级
150064,同瑞A
150065,同瑞B
150066,互利A
150067,互利B
150073,诺安稳健
150075,诺安进取
150076,浙商稳健
150077,浙商进取
150083,深证100A
150084,深证100B
150085,中小板A
150086,中小板B
150088,金鹰500A
150089,金鹰500B
150090,成长A
150091,成长B
150092,诺德300A
150093,诺德300B
150094,泰信400A
150095,泰信400B
150096,商品A
150097,商品B
150100,资源A
150101,资源B
150104,HS300A
150105,HS300B
150106,中小A
150107,中小B
150108,同辉100A
150109,同辉100B
150112,深100A
150113,深100B
150117,房地产A
150118,房地产B
150121,银河优先
150122,银河进取
150123,建信50A
150124,建信50B
150130,医药A
150131,医药B
150133,德信A
150134,德信B
150135,国富100A
150136,国富100B
150138,中证800A
150139,中证800B
150140,国金300A
150141,国金300B
150142,互利债B
150143,转债A级
150144,转债B级
150145,高贝塔A
150146,高贝塔B
150147,同利B
150148,医药800A
150149,医药800B
150150,有色800A
150151,有色800B
150152,创业板A
150153,创业板B
150154,惠丰B
150156,中银互B
150157,金融A
150158,金融B
150160,通福B
150161,惠鑫B
150164,可转债A
150165,可转债B
150167,银华300A
150168,银华300B
150171,证券A
150172,证券B
150173,TMT中证A
150174,TMT中证B
150177,证保A
150178,证保B
150179,信息A
150180,信息B
150181,军工A
150182,军工B
150184,环保A
150185,环保B
150186,军工A级
150187,军工B级
150188,转债优先
150189,转债进取
150190,NCF环保A
150191,NCF环保B
150192,地产A
150193,地产B
150194,互联网A
150195,互联网B
150196,有色A
150197,有色B
150198,食品A
150199,食品B
150200,券商A
150201,券商B
150203,传媒A
150204,传媒B
150205,国防A
150206,国防B
150207,地产A端
150208,地产B端
150209,国企改A
150210,国企改B
